text,label
"How PFAS harm our health — and why they're everywhere

What do non-stick pans, firefighting foam and many of our couches, carpets and cosmetics have in common? They’re all made with PFAS. The so-called forever chemicals helped spur innovation, but they’re also insidious to human health. Horizons moderator William Brangham…",politics
"Open Extended Reactions

Jason Momoa (Aquaman) will star in the ""Helldivers"" movie adaptation from ""Fast & Furious 6"" director Justin Lin.

Helldivers 2, which launched in 2024, sold more than 12 million copies across PS5 and PC in its first four months, and now the Arrowhead Game Studios project will get the Uncharted treatment with a live action movie.

The story riffs on classic tropes from Starship Troopers, a satire of military fascism through a sci-fi lens, where jingoistic soldiers fight to save Super Earth from various alien threats.

It's unclear what precise events the movie will follow or what role Momoa plays within them, but as a lead he'll likely be in the middle of the action.

With the success of HBO's ""The Last of Us"" and the ""Uncharted"" movie, which Deadline reports earned $407 million globally, it's no surprise Sony is banking on more of its big video game franchises for blockbuster success.

""Helldivers"" will hit theatres on Nov. 10, 2027.",sports
"Kuldeep Yadav is likely to make his way back into the playing eleven in place of pacer Arshdeep Singh, whereas Abhishek Sharma will open the innings as India take on Pakistan in the much-awaited ICC T20 World Cup game.",sports
"A shutdown of the U.S. Department of Homeland Security that took effect early Saturday impacts the agency responsible for screening passengers and bags at airports across the country. Travelers with airline reservations may be nervously recalling a 43-day government shutdown that led to historic flight cancellations and long delays last year.

Transportation Security Administration officers are expected to work without pay while lawmakers remain without an agreement on DHS' annual funding. TSA officers also worked through the record shutdown that ended Nov. 12, but aviation experts say this one may play out differently.

Trade groups for the U.S. travel industry and major airlines nonetheless warned that the longer DHS appropriations are lapsed, the longer security lines at the nation's commercial airports could get.

Here's what to know about the latest shutdown and how to plan ahead.

What's different about this shutdown?

Funding for Homeland Security expired at midnight. But the rest of the federal government is funded through Sept. 30. That means air traffic controllers employed by the Federal Aviation Administration will receive paychecks as usual, reducing the risk of widespread flight cancellations.

According to the department's contingency plan, about 95% of TSA workers are deemed essential personnel and required to keep working. Democrats in the House and Senate say DHS won't get funded until new restrictions are placed on federal immigration operations.

During past shutdowns, disruptions to air travel tended to build over time, not overnight. About a month into last year's shutdown, for example, TSA temporarily closed two checkpoints at Philadelphia International Airport. That same day, the government took the extraordinary step of ordering all commercial airlines to reduce their domestic flight schedules.

John Clark, arriving at Detroit Metropolitan Airport from a business trip in Mississippi, said he was impacted by that earlier shutdown and is worried.

""You might not be able to get home if you're already out, or it might delay if you worked all week and you're trying to get home,"" said Clark, who frequently travels for his job balancing machines. ""It's really bad.""

John Rose, chief risk officer for global travel management company Altour, said strains could surface at airports more quickly this time because the TSA workforce also will be remembering the last shutdown.

""It's still fresh in their minds and potentially their pocketbooks,"" Rose said.

What is the impact on travelers?

It's hard to predict whether, when or where security screening snags might pop up. Even a handful of unscheduled TSA absences could quickly lead to longer wait times at smaller airports, for example, if there's just a single security checkpoint.

That's why travelers should plan to arrive early and allow extra time to get through security.

""I tell people to do this even in good times,"" Rose said.

READ MORE: Data of thousands of taxpayers wrongly shared with DHS, court filing says

Experts say flight delays also are a possibility even though air traffic controllers are not affected by the DHS shutdown.

Airlines might decide to delay departures in some cases to wait for passengers to clear screening, said Rich Davis, senior security adviser at risk mitigation company International SOS. Shortages of TSA officers also could slow the screening of checked luggage behind the scenes.

Burnest R. Green, who flew to Detroit from Phoenix for his sister's 70th birthday, says he wants the shutdown ended before he flies back in over a week's time.

""I just hope that things start to get better before they get any worse,"" he said.

What travelers can do to prepare

Most airports display security line wait times on their websites, but don't wait until the day of a flight to check them, Rose advised.

""You may look online and it says two-and-a-half hours,"" he said. ""Now it's two-and-a-half hours before your flight and you haven't left for the airport yet.""

READ MORE: 9 ways air travel is being affected by the shutdown

Passengers should also pay close attention while packing since prohibited items are likely to prolong the screening process. For carry-on bags, avoid bringing full-size shampoo or other liquids, large gels or aerosols and items like pocketknives in carry-on bags.

TSA has a full list on its website of what is and isn't allowed in carry-on and checked luggage.

At the airport, Rose said, remember to ""practice patience and empathy.""

""Not only are they not getting paid,"" he said of TSA agents, ""they're probably working with reduced staff and dealing with angry travelers.""

Will the shutdown drag on?

The White House has been negotiating with Democratic lawmakers, but the two sides failed to reach a deal by the end of the week before senators and members of Congress were set to leave Washington for a 10-day break.

Lawmakers in both chambers were on notice, however, to return if a deal to end the shutdown is struck.

Democrats have said they won't help approve more DHS funding until new restrictions are placed on federal immigration operations after the fatal shooting of Alex Pretti and Renee Good in Minneapolis last month.

In a joint statement, U.S. Travel, Airlines for America and the American Hotel & Lodging Association warned that the shutdown threatens to disrupt air travel as the busy spring break travel season approaches.

""Travelers and the U.S. economy cannot afford to have essential TSA personnel working without pay, which increases the risk of unscheduled absences and call outs, and ultimately can lead to higher wait times and missed or delayed flights,"" the statement said.

Associated Press writer Mike Householder contributed from Romulus, Michigan.",politics
"Trump backs down from Greenland, but how much damage has been done?

A framework for a deal, or an off-ramp? President Trump backs down after his aggressive efforts to acquire Greenland enraged and insulted allies. What’s in the agreement, and how much damage to America’s most important relationships has already been done?…",politics
"Friday on the News Hour, with the U.S. no longer seen by some as a dependable ally, European nations warn of the urgent need to protect themselves. U.S. citizens detained by immigration officers speak out about their treatment as some lawmakers push to rein in the Department of Homeland Security. Plus, humanitarian conditions worsen in Sudan, where millions are fleeing the devastating civil war.",politics
"Friday on the News Hour, with the U.S. no longer seen by some as a dependable ally, European nations warn of the urgent need to protect themselves. U.S. citizens detained by immigration officers speak out about their treatment as some lawmakers push to rein in the Department of Homeland Security. Plus, humanitarian conditions worsen in Sudan, where millions are fleeing the devastating civil war.",politics
"In the Rajya Sabha, Opposition leaders criticised the government’s Budget, raising concerns over support for farmers. The debate focused on policy direction and welfare measures during the discussion on Budget and farmers’ issues.",politics
"Open Extended Reactions

Xbox Game Pass Ultimate, Premium and Essential members can try out NHL 26 for free this weekend.

If players decide to purchase the game at a later date, any progress made during the trial period carries over to the full game. There's also a limited-time discount following the trial.

To download on console, click on the Subscriptions tab in the Xbox Store and navigate down to the Free Play Days collection on your Xbox One and Xbox Series X|S.

Here's the full list of games available to try until Feb. 15.",sports
"Open Extended Reactions

""The Last of Us"" and""'Chernobyl"" showrunner Craig Mazin will adapt a TV series for Baldur's Gate 3, based on Dungeons & Dragons, for HBO.

Mazin will create, write, executive produce and run the series, which will be set after the events of the game.

The show will feature new characters and track their growth to power, alongside characters from the video game as they deal with the fallout of the game's conclusion.

""We're thrilled to continue our partnership with Craig Mazin on Baldur's Gate,"" Francesca Orsi, EVP, Head of HBO drama programming told Deadline.

""His deep and long-standing passion for the source material paired with his remarkable talent for building immersive worlds filled with rich, compelling characters promises groundbreaking results.""

Mazin plans to reach out to some of the game's voice cast to find ways for them to participate in the show, following in the footsteps of The Last of Us, which saw many of the actors return for guest roles.",sports
"The ""Get Up"" crew debates whether Rams QB Matthew Stafford deserved to win MVP over Patriots QB Drake Maye. (2:30)

Was Stafford more deserving of MVP than Maye? (2:30)

Open Extended Reactions

Madden NFL 26 is now available to download as part of Electronic Arts' video game subscription service.

Until Feb. 17, at 1 p.m. ET, new members on PlayStation and PC can get an entire year of EA Play for $19.99. For Xbox, EA Play is included as part of your Game Pass subscription.

To give players a leg up, they can also claim a limited-time Supercharge Pack for Ultimate Team.

Available until Mar. 6, the Supercharge Pack features six Elite player items. This comes in addition to February's EA Play Madden Ultimate Team Pack, available until Feb. 28.

EA Play membership also unlocks discounts and access to older Electronic Arts titles.",sports
Trade relations and maintaining peace along the Line of Actual Control remained the focus of the talks between India and China. Foreign Secretary Vikram Misri met his Chinese counterpart in New Delhi to stock progress.,politics
"Pakistan batter Sahibzada Farhan has praised Jasprit Bumrah ahead of the highly anticipated India vs Pakistan clash in the T20 World Cup, acknowledging the challenge posed by India’s pace attack.",sports
